"品目番号","品　　　　目　　　　名","産      出事業所数","製造品出荷額等　　（万円）","品目番号"
"193313","ゴム製パッキン類","8.0","952607.0","193313"
"193315","ゴムライニング","1.0","χ","193315"
"193319","その他の工業用ゴム製品","2.0","χ","193319"
"193391","工業用ゴム製品（賃加工）","4.0","24377.0","193391.0"
"199919","その他のゴム製品","1.0","χ","199919"
"199991","199991.0","3.0","55650.0","199991.0"
"","","","",""
"20　皮革","20　なめし革・同製品・毛皮製造業","16.0","150567.0","20　皮革"
"201111","成牛甲革","2.0","χ","201111.0"
"201112","中小牛甲革","1.0","χ","201112.0"
"201113","牛底革（クローム底革を含む）","1.0","χ","201113.0"
"201123","山羊・めん羊革","1.0","χ","201123.0"
"201129","その他のなめし革","3.0","24490.0","201129.0"
"201191","なめし革（賃加工）","1.0","χ","201191.0"
"201192","なめし革塗装・装飾（賃加工）","1.0","χ","201192.0"
"202191","工業用革製品（賃加工）","1.0","χ","202191.0"
"203191","革製履物用材料・同附属品（賃加工）","1.0","χ","203191.0"
"204129","その他の革製履物","1.0","χ","204129.0"
"204191","革製履物（賃加工）","1.0","χ","204191.0"
"206112","なめし革製書類入かばん・学生かばん・ランドセル","1.0","χ","206112.0"
"206191","かばん（賃加工）","1.0","χ","206191.0"
"","","","",""
"21　窯業","21　窯業・土石製品製造業","118.0","4829910.0","21　窯業"
"211219","その他の板ガラス","1.0","χ","211219"
"211511","理化学用・医療用ガラス器具","1.0","χ","211511"
"211791","ガラス繊維・同製品（賃加工）","1.0","χ","211791.0"
"211919","他に分類されないガラス、同製品","4.0","391169.0","211919"
"211991","その他のガラス・同製品（賃加工）","1.0","χ","211991.0"
"212119","その他の水硬性セメント","1.0","χ","212119"
"212211","生コンクリート","42.0","1815630.0","212211"
"212311","遠心力鉄筋コンクリート管（ヒューム管）","2.0","χ","212311"
"212315","空洞コンクリートブロック","2.0","χ","212315"
"212316","土木用コンクリートブロック","9.0","88782.0","212316"
"212317","道路用コンクリート製品","13.0","203519.0","212317"
"212319","その他のコンクリート製品","6.0","218798.0","212319"
"212391","コンクリート製品（賃加工）","1.0","χ","212391.0"
"212911","厚形スレート","1.0","χ","212911"
"215291","不定形耐火物（賃加工）","1.0","χ","215291.0"
"216919","他に分類されない炭素・黒鉛製品","1.0","χ","216919"
"217111","天然研磨材、人造研削材","2.0","χ","217111"
"217919","その他の研磨材、同製品","3.0","8425.0","217919"
"217991","その他の研磨剤・同製品（賃加工）","1.0","χ","217991.0"
"218111","砕石","1.0","χ","218111"
"218211","再生骨材","4.0","28813.0","218211"
"218291","再生骨材（賃加工）","1.0","χ","218291.0"
"218411","石工品","4.0","26977.0","218411"
"218491","石工品（賃加工）","1.0","χ","218491.0"
"218611","鉱物・土石粉砕、その他の処理品","3.0","60455.0","218611"
"218691","鉱物・土石粉砕・その他の処理品（賃加工）","1.0","χ","218691.0"
"219111","ロックウール、同製品","1.0","χ","219111"
"219311","生石灰","1.0","χ","219311"
"219319","その他の石灰製品","1.0","χ","219319"
"219411","鋳型（中子を含む）","1.0","χ","219411"
"219922","人造宝石（合成宝石、模造宝石、人造真珠、人造水晶を含む）","2.0","χ","219922"
"219929","その他の窯業・土石製品","3.0","26868.0","219929"
"219991","他に分類されない窯業・土石製品（賃加工）","1.0","χ","219991.0"
"","","","",""
"22　鉄鋼","22　鉄鋼業","83.0","87484298.0","22　鉄鋼"
"221111","高炉銑（製鋼用銑）","1.0","χ","221111"
"221114","普通鋼半製品","1.0","χ","221114"
"221116","形鋼（鋼矢板、リム・リングバー、サッシバーを含む）","1.0","χ","221116"
"221117","管材","1.0","χ","221117"
"221125","鋼帯","1.0","χ","221125"
"221128","普通鋼冷延電気鋼帯","1.0","χ","221128"
"221131","普通鋼冷延広幅帯鋼（幅６００ｍｍ以上でコイル状のもの）","1.0","χ","221131"
"221132","普通鋼磨帯鋼（幅６００ｍｍ未満でコイル状のもの）","1.0","χ","221132"
"221135","普通鋼熱間鋼管（ベンディングロール成型によるものを除く）","2.0","χ","221135"
"221136","普通鋼冷けん鋼管（再生引抜鋼管を含む）","2.0","χ","221136"
"221137","普通鋼めっき鋼管","2.0","χ","221137"
"221141","特殊鋼半製品","1.0","χ","221141"
"221143","構造用鋼","2.0","χ","221143"
"221144","特殊用途鋼","1.0","χ","221144"
"221147","特殊鋼冷延広幅帯鋼（幅６００ｍｍ以上でコイル状のもの）","1.0","χ","221147"
"221152","特殊鋼熱間鋼管（ベンディングロール成型によるものを除く）","3.0","21891197.0","221152"
"221153","特殊鋼冷けん鋼管","1.0","χ","221153"
"221168","鉄くず","24.0","47992.0","221168"
"222191","粗鋼・鋼半製品（賃加工）","2.0","χ","222191.0"
"223391","冷間ロール成型形鋼（賃加工）","1.0","χ","223391.0"
"223491","鋼管（賃加工）","2.0","χ","223491.0"
"224111","亜鉛めっき鋼板（亜鉛めっき帯鋼を含む）","1.0","χ","224111"
"224919","その他の表面処理鋼材","1.0","χ","224919"
"224992","その他の表面処理鋼材（賃加工）","2.0","χ","224992.0"
"225111","機械用銑鉄鋳物","3.0","131270.0","225111"
"225291","可鍛鋳鉄鋳物（賃加工）","1.0","χ","225291.0"
"229111","鉄鋼切断品（溶断を含む）","9.0","767351.0","229111"
"229191","鉄鋼切断（賃加工）","3.0","15138.0","229191.0"
"229211","鉄スクラップ加工処理品","4.0","579800.0","229211"
"229919","その他の鉄鋼品","2.0","χ","229919"
"229991","他に分類されない鉄鋼品（賃加工）","4.0","77970.0","229991.0"
"726600","製造工程からでたくず・廃物","1.0","χ","726600.0"
"","","","",""
"23　非鉄","23　非鉄金属製造業","25.0","3004412.0","23　非鉄"
"232914","亜鉛再生地金、亜鉛合金","1.0","χ","232914"
"232919","その他の非鉄金属再生地金、同合金","1.0","χ","232919"
"233111","銅伸銅品","1.0","χ","233111"
"233112","黄銅伸銅品","1.0","χ","233112"
"233113","青銅伸銅品","2.0","χ","233113"
"233119","その他の伸銅品（洋白伸銅品を含む）","1.0","χ","233119"
"233291","アルミニウム・同合金圧延（賃加工）","1.0","χ","233291.0"
"234113","銅被覆線","1.0","χ","234113"
"234114","巻線","1.0","χ","234114"
"234116","通信ケーブル","1.0","χ","234116"
"234212","光ファイバケーブル（複合ケーブルを含む）","1.0","χ","234212"
"235211","アルミニウム・同合金鋳物","2.0","χ","235211"
"235311","アルミニウム・同合金ダイカスト","2.0","χ","235311"
"239921","銅、鉛、亜鉛、ニッケル、すず等粗製品","1.0","χ","239921"
"239929","その他の非鉄金属製品","1.0","χ","239929"
"239931","非鉄金属くず","6.0","17146.0","239931"
"239991","他に分類されない非鉄金属（賃加工）","1.0","χ","239991.0"
"","","","",""
"24　金属","24　金属製品製造業","248.0","7744128.0","24　金属"
"241111","１８リットル缶","1.0","χ","241111"
"241119","その他のめっき板製容器","2.0","χ","241119"
"241191","ブリキ缶・その他のめっき板等製品（賃加工）","1.0","χ","241191.0"
"242212","合板・木材加工機械用刃物","1.0","χ","242212"
"242291","機械刃物（賃加工）","1.0","χ","242291.0"
"242311","理髪用刃物","2.0","χ","242311"
"242391","利器工匠具・手道具（賃加工）","1.0","χ","242391.0"
"242611","農業用器具","1.0","χ","242611"
"242912","建築用金物","1.0","χ","242912"
"243111","金属製管継手","2.0","χ","243111"
"243113","その他の配管工事用附属品","2.0","χ","243113"
"243191","配管工事用附属品（賃加工）","2.0","χ","243191.0"
"243231","ガス機器・石油機器の部分品・附属品","1.0","χ","243231"
"244111","鉄骨","17.0","966197.0","244111"
"244112","軽量鉄骨","2.0","χ","244112"
"244191","鉄骨（賃加工）","10.0","207188.0","244191.0"
"244211","橋りょう","3.0","1575046.0","244211"
"244219","その他の建設用金属製品","15.0","413773.0","244219"
"244291","建設用金属製品（賃加工）","10.0","66752.0","244291.0"
"244311","住宅用アルミニウム製サッシ","5.0","27289.0","244311"
"244312","ビル用アルミニウム製サッシ","3.0","38380.0","244312"
"244319","その他のアルミニウム製サッシ","2.0","χ","244319"
"244321","アルミニウム製ドア","1.0","χ","244321"
"244322","金属製サッシ・ドア","4.0","10738.0","244322"
"244391","金属製サッシ・ドア（賃加工）","1.0","χ","244391.0"
"244512","シャッタ","2.0","χ","244512"
"244513","建築用板金製品","2.0","χ","244513"
"244519","その他の建築用金属製品","14.0","366865.0","244519"
"244591","建築用金属製品（賃加工）","3.0","3950.0","244591.0"
"244611","板金製タンク","7.0","50468.0","244611"
"244613","ドラム缶","1.0","χ","244613"
"244614","コンテナ","2.0","χ","244614"
"244619","その他の製缶板金製品","30.0","813280.0","244619"
"244691","製缶板金製品（賃加工）","5.0","31035.0","244691.0"
"244692","金属板加工（賃加工）","14.0","81952.0","244692.0"
"245111","アルミニウム製機械部分品（機械仕上げをしないもの）","2.0","χ","245111"
"245119","その他の打抜・プレス加工アルミニウム、同合金製品","2.0","χ","245119"
"245211","打抜・プレス機械部分品（機械仕上げをしないもの）","5.0","117521.0","245211"
"245219","その他の打抜・プレス金属製品","1.0","χ","245219"
"245291","打抜・プレス加工金属製品（賃加工）","3.0","15592.0","245291.0"
"246191","金属製品塗装・エナメル塗装・ラッカー塗装（賃加工）","12.0","248839.0","246191.0"
"246291","溶融めっき（賃加工）","1.0","χ","246291.0"
"246311","金属彫刻品","3.0","82735.0","246311"
"246391","金属彫刻（賃加工）","1.0","χ","246391.0"
"246491","電気めっき（賃加工）","4.0","61752.0","246491.0"
"246991","陽極酸化処理（賃加工）","1.0","χ","246991.0"
"246993","金属研磨、電解研磨、シリコン研磨（賃加工）","3.0","12790.0","246993.0"
"246994","その他の金属表面処理（賃加工）","2.0","χ","246994.0"
"247911","鉄製金網（溶接金網、じゃかごを含む）","2.0","χ","247911"
"247913","ワイヤロープ（鋼より線を含む）","1.0","χ","247913"
"247991","その他の金属線製品（賃加工）","2.0","χ","247991.0"
"248111","ボルト、ナット","8.0","677622.0","248111"
"248119","その他のボルト・ナット等関連製品","5.0","139381.0","248119"
"248191","ボルト・ナット・リベット・小ねじ・木ねじ等（賃加工）","5.0","11547.0","248191.0"
"249112","金庫の部分品・取付具・附属品","1.0","χ","249112"
"249912","金属板ネームプレート","1.0","χ","249912"
"249919","その他の金属製品","7.0","76124.0","249919"
"249991","他に分類されない金属製品（賃加工）","4.0","25142.0","249991.0"
"746600","製造工程からでたくず・廃物","1.0","χ","746600.0"
"","","","",""
"25　は用","25　はん用機械器具製造業","96.0","23296862.0","25　は用"
"251191","ボイラ・同部分品・取付具・附属品（賃加工）","1.0","χ","251191.0"
"251313","はん用内燃機関の部分品・取付具・附属品","1.0","χ","251313"
"252113","耐しょく性ポンプ（化学工業用特殊ポンプ）","1.0","χ","252113"
"252121","ポンプ、同装置の部分品・取付具・附属品","1.0","χ","252121"
"252219","その他の送風機","1.0","χ","252219"
"252222","空気圧縮機・ガス圧縮機・送風機の部分品・取付具・附属品","2.0","χ","252222"
"252321","油圧機器の部分品・取付具・附属品","3.0","6666.0","252321"
"252391","油圧・空気圧機器・同部分品・取付具・附属品（賃加工）","1.0","χ","252391.0"
"253112","歯車（プラスチック製を含む）","2.0","χ","253112"
"253119","その他の動力伝導装置","3.0","109264.0","253119"
"253121","動力伝導装置の部分品・取付具・附属品","3.0","17843.0","253121"
"253191","動力伝導装置・同部分品・取付具・附属品（賃加工）","3.0","19855.0","253191.0"
"253213","エレベータ・エスカレータの部分品・取付具・附属品","1.0","χ","253213"
"253322","コンベヤ","5.0","152673.0","253322"
"253331","物流運搬設備の部分品・取付具・附属品","3.0","19835.0","253331"
"253391","物流運搬設備・同部分品・取付具・附属品（賃加工）","4.0","29681.0","253391.0"
"253412","工業窯炉の部分品・取付具・附属品","1.0","χ","253412"
"253491","工業窯炉・同部分品・取付具・附属品（賃加工）","1.0","χ","253491.0"
"253511","冷凍機","2.0","χ","253511"
"253513","エアコンディショナ（ウインド形、セパレート形を除く）","2.0","χ","253513"
"253519","その他の冷凍機応用製品","4.0","1189622.0","253519"
"253522","冷凍装置","1.0","χ","253522"
"253523","冷凍機・温湿調整装置の部分品・取付具・附属品","8.0","1392481.0","253523"
"253591","冷凍機・温湿調整装置・同部分品・取付具・附属品（賃加工）","4.0","163435.0","253591.0"
"259111","消火器具、消火装置（消防自動車のぎ装品を含む）","1.0","χ","259111"
"259112","消火器具・消火装置の部分品・取付具・附属品","2.0","χ","259112"
"259212","自動調整バルブ","1.0","χ","259212"
"259215","バルブ・コック附属品","1.0","χ","259215"
"259311","切断、屈曲、ねじ切等パイプ加工品（機械用金属製パイプ加工）","1.0","χ","259311"
"259391","切断・屈曲・ねじ切等パイプ加工品（賃加工）","3.0","114215.0","259391.0"
"259411","ラジアル玉軸受（軸受ユニット用を除く）","3.0","913660.0","259411"
"259414","軸受ユニット","2.0","χ","259414"
"259415","玉軸受・ころ軸受の部分品","1.0","χ","259415"
"259491","玉軸受・ころ軸受・同部分品（賃加工）","3.0","119912.0","259491.0"
"259619","その他のはん用機械、同装置","2.0","χ","259619"
"259629","他に分類されないはん用機械、同装置の部分品・取付具・附属品","2.0","χ","259629"
"259691","他に分類されないはん用機械・同装置・同部分品・取付具・附属品（賃加工）","1.0","χ","259691.0"
"259919","他に分類されない各種機械部分品","10.0","132032.0","259919"
"259991","他に分類されない各種機械部分品（賃加工）","5.0","23978.0","259991.0"
"","","","",""
"26　生産","26　生産用機械器具製造業","210.0","10103094.0","26　生産"
"261121","噴霧機、散粉機","1.0","χ","261121"
"261129","その他の栽培用・管理用機器","2.0","χ","261129"
"261139","その他の収穫調整用機器","2.0","χ","261139"
"261149","その他の農業用機械","2.0","χ","261149"
"261151","農業用機械の部分品・取付具・附属品","3.0","75852.0","261151"
"261191","農業用機械・同部分品・取付具・附属品（賃加工）","1.0","χ","261191.0"
"262116","コンクリート機械","1.0","χ","262116"
"262141","建設機械・鉱山機械の部分品・取付具・附属品","2.0","χ","262141"
"262191","建設機械・鉱山機械・同部分品・取付具・附属品（賃加工）","1.0","χ","262191.0"
"263221","ニット機械","1.0","χ","263221"
"263291","製織機械・編組機械（賃加工）","1.0","χ","263291.0"
"263312","仕上機械","3.0","56532.0","263312"
"263319","その他の染色整理仕上機械","6.0","212887.0","263319"
"263391","染色・整理仕上機械（賃加工）","2.0","χ","263391.0"
"263412","製織機械・編組機械の部分品・取付具・附属品","4.0","496808.0","263412"
"263413","染色整理仕上機械の部分品・取付具・附属品","5.0","25626.0","263413"
"263491","繊維機械の部分品・取付具・附属品（賃加工）","3.0","5434.0","263491.0"
"263519","その他の縫製機械","1.0","χ","263519"
"263521","縫製機械の部分品・取付具・附属品","1.0","χ","263521"
"263591","縫製機械・同部分品・取付具・附属品（賃加工）","1.0","χ","263591.0"
"264111","穀物処理機械、同装置","1.0","χ","264111"
"264112","製パン・製菓機械、同装置","1.0","χ","264112"
"264115","肉製品・水産製品製造機械","2.0","χ","264115"
"264119","その他の食品機械・同装置","2.0","χ","264119"
"264121","食品機械・同装置の部分品・取付具・附属品","10.0","43279.0","264121"
"264214","製材・木材加工・合板機械の部分品・取付具・附属品","1.0","χ","264214"
"264311","パルプ製造機械、同装置","1.0","χ","264311"
"264319","その他の製紙機械","1.0","χ","264319"
"264321","パルプ装置・製紙機械の部分品・取付具・附属品","2.0","χ","264321"
"264391","パルプ装置・製紙機械・同部分品・取付具・附属品（賃加工）","1.0","χ","264391.0"
"264411","印刷機械","1.0","χ","264411"
"264412","製本機械","2.0","χ","264412"
"264413","紙工機械","2.0","χ","264413"
"264415","印刷・製本・紙工機械の部分品・取付具・附属品","3.0","313255.0","264415"
"264511","個装・内装機械","4.0","161925.0","264511"
"264513","包装・荷造機械の部分品・取付具・附属品","5.0","23103.0","264513"
"264591","包装・荷造機械・同部分品・取付具・附属品（賃加工）","1.0","χ","264591.0"
"265121","鋳型、鋳型定盤（製鉄、製鋼用に限る）","1.0","χ","265121"
"265191","鋳造装置・同部分品・取付具・附属品（賃加工）","2.0","χ","265191.0"
"265213","熱交換器（分縮機、熱換器を含む）","1.0","χ","265213"
"265218","集じん機器","1.0","χ","265218"
"265221","化学装置用タンク","1.0","χ","265221"
"265231","化学機械、同装置の部分品・取付具・附属品","5.0","187377.0","265231"
"265291","化学機械・同装置・同部分品・取付具・附属品（賃加工）","2.0","χ","265291.0"
"265319","その他のプラスチック加工機械、同附属装置（手動式を含む）","5.0","120401.0","265319"
"265321","プラスチック加工機械・同附属装置の部分品・取付具・附属品","1.0","χ","265321"
"266129","その他の金属工作機械","2.0","χ","266129"
"266191","金属工作機械（賃加工）","1.0","χ","266191.0"
"266211","圧延機械、同附属装置","1.0","χ","266211"
"266212","精整仕上装置","1.0","χ","266212"
"266229","その他の金属加工機械","1.0","χ","266229"
"266291","金属加工機械（賃加工）","2.0","χ","266291.0"
"266311","金属工作機械の部分品・取付具・附属品","12.0","224376.0","266311"
"266312","金属圧延用ロール","1.0","χ","266312"
"266313","金属加工機械の部分品・取付具・附属品","8.0","100201.0","266313"
"266391","金属工作機械用・金属加工機械用の部分品・取付具・附属品（賃加工）","15.0","108784.0","266391.0"
"266411","特殊鋼切削工具","1.0","χ","266411"
"266412","超硬工具（粉末や金製を除く）","1.0","χ","266412"
"266416","治具、金属加工用附属品","2.0","χ","266416"
"266419","その他の機械工具","1.0","χ","266419"
"267111","ウェーハプロセス（電子回路形成）用処理装置","1.0","χ","267111"
"267121","半導体製造装置の部分品・取付具・附属品","4.0","31932.0","267121"
"267211","フラットパネルディスプレイ製造装置","2.0","χ","267211"
"267291","フラットパネルディスプレイ製造装置・同部分品・取付具・附属品（賃加工）","1.0","χ","267291.0"
"269111","プレス用金型","5.0","100487.0","269111"
"269112","鍛造用金型","1.0","χ","269112"
"269113","鋳造用金型（ダイカスト用を含む）","3.0","22456.0","269113"
"269119","その他の金属用金型、同部分品・附属品","1.0","χ","269119"
"269191","金属用金型・同部分品・附属品（賃加工）","3.0","29633.0","269191.0"
"269211","プラスチック用金型","5.0","156639.0","269211"
"269212","ゴム・ガラス用金型","1.0","χ","269212"
"269219","その他の非金属用金型、同部分品・附属品","1.0","χ","269219"
"269291","非金属用金型・同部分品・附属品（賃加工）","1.0","χ","269291.0"
"269313","真空装置・真空機器の部分品・取付具・附属品","4.0","58450.0","269313"
"269419","その他のロボット","1.0","χ","269419"
"269491","ロボット・同装置の部分品・取付具・附属品（賃加工）","1.0","χ","269491.0"
"269911","ゴム工業用機械器具","2.0","χ","269911"
"269919","その他の生産用機械器具","8.0","91259.0","269919"
"269929","他に分類されない生産用機械器具の部分品・取付具・附属品","10.0","55936.0","269929"
"269991","他に分類されない生産用機械器具・同部分品・取付具・附属品（賃加工）","3.0","2365.0","269991.0"
"766600","製造工程からでたくず・廃物","1.0","χ","766600.0"
"","","","",""
"27　業務","27　業務用機械器具製造業","25.0","1052550.0","27　業務"
"271111","デジタル式複写機","1.0","χ","271111"
"271191","複写機・同部分品・取付具・附属品（賃加工）","2.0","χ","271191.0"
"271919","他に分類されない事務用機械器具","1.0","χ","271919"
"271921","その他の事務用機械器具の部分品・取付具・附属品","3.0","44814.0","271921"
"271991","その他の事務用機械器具・同部分品・取付具・附属品（賃加工）","1.0","χ","271991.0"
"272219","その他の娯楽用機械","1.0","χ","272219"
"272221","娯楽用機械の部分品・取付具・附属品","1.0","χ","272221"
"272919","他に分類されないサービス用・娯楽用機械器具","1.0","χ","272919"
"273111","積算体積計","2.0","χ","273111"
"273919","他に分類されない計量器・測定器・分析機器・試験機・測量機械器具・理化学機械器具","1.0","χ","273919"
"274113","医療用機械器具の部分品・取付具・附属品","4.0","61327.0","274113"
"274311","医療用品","2.0","χ","274311"
"274312","動物用医療機械器具、同部分品・取付具・附属品","1.0","χ","274312"
"275212","写真装置、同関連器具","2.0","χ","275212"
"275214","写真機・映画用機械の部分品・取付具・附属品","1.0","χ","275214"
"275291","写真装置・映画用機械・同部分品・取付具・附属品（賃加工）","1.0","χ","275291.0"
"","","","",""
"28　電子","28　電子部品・デバイス・電子回路製造業","13.0","1174625.0","28　電子"
"281591","液晶パネル・フラットパネル（賃加工）","1.0","χ","281591.0"
"282114","変成器","2.0","χ","282114"
"284112","フレキシブルプリント配線板","1.0","χ","284112"
"284211","プリント配線実装基板","1.0","χ","284211"
"285919","他に分類されないユニット部品","1.0","χ","285919"
"285991","その他のユニット部品（賃加工）","1.0","χ","285991.0"
"289919","他に分類されない通信機械器具の部分品・附属品","3.0","25094.0","289919"
"289929","他に分類されない電子部品・デバイス・電子回路","2.0","χ","289929"
"289991","その他の電子部品・デバイス・電子回路（賃加工）","1.0","χ","289991.0"
"","","","",""
"29　電気","29　電気機械器具製造業","66.0","1976333.0","29　電気"
"291113","直流電動機（７０Ｗ以上）","1.0","χ","291113"
"291313","開閉器","1.0","χ","291313"
"291411","配電盤","7.0","105308.0","291411"
"291412","監視制御装置","4.0","49478.0","291412"
"291413","分電盤","3.0","14887.0","291413"
"291419","その他の配電盤・電力制御装置","2.0","χ","291419"
"291491","配電盤・電力制御装置・同部分品・取付具・附属品（賃加工）","3.0","44085.0","291491.0"
"292221","内燃機関電装品の部分品・取付具・附属品","2.0","χ","292221"
"292291","内燃機関電装品・同部分品・取付具・附属品（賃加工）","6.0","79023.0","292291.0"
"292914","電力変換装置","1.0","χ","292914"
"292929","その他の産業用電気機械器具の部分品・取付具・附属品","3.0","13947.0","292929"
"292991","その他の産業用電気機械器具・同部分品・取付具・附属品（賃加工）","1.0","χ","292991.0"
"293119","その他のちゅう房機器","1.0","χ","293119"
"293221","空調・住宅関連機器の部分品・取付具・附属品","5.0","208022.0","293221"
"293291","空調・住宅関連機器・同部分品・取付具・附属品（賃加工）","3.0","155269.0","293291.0"
"293912","理容用電気器具","1.0","χ","293912"
"293929","その他の民生用電気機械器具の部分品・取付具・附属品","1.0","χ","293929"
"293991","その他の民生用電機機械器具・同部品・取付具・附属品（賃加工）","2.0","χ","293991.0"
"294211","白熱電灯器具","1.0","χ","294211"
"294219","その他の電気照明器具","1.0","χ","294219"
"294221","電気照明器具の部分品・取付具・附属品","1.0","χ","294221"
"294291","電気照明器具・同部分品・取付具・附属品（賃加工）","2.0","χ","294291.0"
"295114","蓄電池の部分品・取付具・附属品","3.0","350267.0","295114"
"295191","蓄電池・同部分品・取付具・附属品（賃加工）","1.0","χ","295191.0"
"296211","医療用電子応用装置","1.0","χ","296211"
"296911","超音波応用装置","1.0","χ","296911"
"296912","高周波電力応用装置","1.0","χ","296912"
"296919","他に分類されない電子応用装置","1.0","χ","296919"
"296929","その他の電子応用装置の部分品・取付具・附属品","1.0","χ","296929"
"297112","電気測定器","1.0","χ","297112"
"297113","半導体・ＩＣ測定器","1.0","χ","297113"
"297212","工業計器の部分品・取付具・附属品","2.0","χ","297212"
"299991","その他の電気機械器具（賃加工）","1.0","χ","299991.0"
"","","","",""
"30　情報","30　情報通信機械器具製造業","13.0","732211.0","30　情報"
"301391","無線通信機械器具（賃加工）","4.0","246425.0","301391.0"
"301511","交通信号保安装置","1.0","χ","301511.0"
"301512","交通信号保安装置の部分品・取付具・附属品","2.0","χ","301512.0"
"301591","交通信号保安装置・同部分品・取付具・附属品（賃加工）","1.0","χ","301591.0"
"302212","デジタルカメラの部分品・取付具・附属品","1.0","χ","302212.0"
"302391","電気音響機械器具・同部分品・取付具・附属品（賃加工）","1.0","χ","302391.0"
"303112","ミッドレンジコンピュータ","1.0","χ","303112.0"
"303412","印刷装置の部分品・取付具・附属品","1.0","χ","303412.0"
"303929","その他の入出力装置","1.0","χ","303929.0"
"","","","",""
"31　輸送","31　輸送用機械器具製造業","41.0","1739976.0","31　輸送"
"311314","自動車用内燃機関の部分品・取付具・附属品","1.0","χ","311314"
"311315","駆動・伝導・操縦装置部品","5.0","833148.0","311315"
"311329","その他の自動車部品（二輪自動車部品を含む）","1.0","χ","311329"
"311391","自動車部分品・附属品（二輪自動車を含む）（賃加工）","9.0","199741.0","311391.0"
"312212","電車・客貨車の部分品・取付具・附属品","3.0","6620.0","312212"
"312291","鉄道車両用部分品（賃加工）","2.0","χ","312291.0"
"313121","鋼製動力船の新造（２０総ｔ未満）","1.0","χ","313121"
"313123","鋼製国内船舶の改造・修理","5.0","252345.0","313123"
"313124","鋼製外国船舶の改造・修理","1.0","χ","313124"
"313191","船舶新造・改造・修理（賃加工）","2.0","χ","313191.0"
"313291","船体ブロック（賃加工）","1.0","χ","313291.0"
"313312","プラスチック製舟艇の新造","1.0","χ","313312"
"313313","舟艇の改造・修理","2.0","χ","313313"
"313491","舶用機関・同部分品・取付具・附属品（賃加工）","3.0","9423.0","313491.0"
"315921","その他の産業用運搬車両の部分品・取付具・附属品","1.0","χ","315921"
"319191","自転車・同部分品（賃加工）","1.0","χ","319191.0"
"319991","他に分類されない輸送用機械器具・同部分品・取付具・附属品（賃加工）","2.0","χ","319991.0"
"","","","",""
"32　そ他","32　その他の製造業","150.0","1966975.0","32　そ他"
"322211","造花、装飾用羽毛","1.0","χ","322211"
"322311","プラスチック製ボタン","8.0","174881.0","322311"
"322319","その他のボタン（ボタン型を含む）","2.0","χ","322319"
"322391","ボタン（賃加工）","1.0","χ","322391.0"
"322419","その他の針、同関連品","2.0","χ","322419"
"322491","針・ピン・ホック・スナップ・同関連品（賃加工）","1.0","χ","322491.0"
"325111","かるた、すごろく、トランプ、花札、囲碁、将棋、チェス、麻雀ぱい、ゲーム盤等","1.0","χ","325111"
"325112","電子応用がん具","1.0","χ","325112"
"325129","その他の娯楽用具・がん具","1.0","χ","325129"
"325191","娯楽用具・がん具（賃加工）","1.0","χ","325191.0"
"325312","バスケットボール・バレーボール・ラグビー・サッカー等用具","1.0","χ","325312"
"325317","釣道具、同附属品","8.0","163919.0","325317"
"325391","運動用具（賃加工）","3.0","6153.0","325391.0"
"326911","印章、印肉、スタンプ、スタンプ台","2.0","χ","326911"
"326919","他に分類されない事務用品","1.0","χ","326919"
"327111","漆器製家具","1.0","χ","327111"
"327112","漆器製台所・食卓用品","9.0","58778.0","327112"
"327119","その他の漆器製品","10.0","58858.0","327119"
"327191","漆器（賃加工）","5.0","2439.0","327191.0"
"328119","その他のわら工品","1.0","χ","328119"
"328211","畳、畳床","6.0","36056.0","328211"
"328291","畳・むしろ類（賃加工）","1.0","χ","328291.0"
"328311","うちわ、扇子（骨を含む）","1.0","χ","328311"
"328419","その他のブラシ","16.0","370129.0","328419"
"328421","清掃用品","12.0","45818.0","328421"
"328491","ほうき・ブラシ（賃加工）","6.0","10091.0","328491.0"
"328929","他に分類されない生活雑貨製品","8.0","381781.0","328929"
"329111","煙火（がん具用を含む）","1.0","χ","329111"
"329211","看板、標識機、展示装置（電気的、機械的でないもの）","13.0","84515.0","329211"
"329212","看板、標識機、展示装置（電気的、機械的なもの）","2.0","χ","329212"
"329291","看板・標識機（賃加工）","3.0","3648.0","329291.0"
"329613","ゲーム用の記録物","1.0","χ","329613"
"329791","眼鏡（賃加工）","1.0","χ","329791.0"
"329911","繊維壁材（化粧用吹付材を含む）","1.0","χ","329911"
"329912","線香類","5.0","55025.0","329912"
"329913","人体安全保護具、救命器具","1.0","χ","329913"
"329919","他に分類されないその他の製品","9.0","263265.0","329919"
"329991","他に分類されないその他の製品（賃加工）","2.0","χ","329991.0"
"826600","製造工程からでたくず・廃物","1.0","χ","826600.0"
"","","","",""
"その他収入","その他収入額","364.0","6002335.0","その他収入"
"710000","農業、林業収入","2.0","χ","710000.0"
"720000","漁業収入","1.0","χ","720000.0"
"730000","鉱業、採石業、砂利採取業収入","2.0","χ","730000.0"
"740000","建設業収入","21.0","649715.0","740000.0"
"750000","販売電力収入","6.0","983391.0","750000.0"
"760000","ガス・熱供給・水道業収入","1.0","χ","760000.0"
"770000","情報通信業収入","1.0","χ","770000.0"
"780000","冷蔵保管料収入","2.0","χ","780000.0"
"790000","運輸業、郵便業収入","9.0","176360.0","790000.0"
